A# .NET,/wiki/A_Sharp_(.NET),N,http://www.asharp.martincarlisle.com/,http://adagide.martincarlisle.com/adagidelogo.gif,N
A# (Axiom),/wiki/A_Sharp_(Axiom),N,http://axiom-developer.org/,http://sourceforge.net/sflogo.php?group_id=48359&type=1,N
A-0 System,/wiki/A-0_System,N,N,N,N
A+,/wiki/A%2B_(programming_language),https://upload.wikimedia.org/wikipedia/en/5/5c/Aplus_logo.jpg,http://www.aplusdev.org/index.html,N,N
A++,/wiki/A%2B%2B,N,N,N,N
ABAP,/wiki/ABAP,N,https://www.sap.com/community/topic/abap.html,/dam/application/shared/logos/sap-logo-svg.svg,N
ABC,/wiki/ABC_(programming_language),N,N,N,N
ABC ALGOL,/wiki/ABC_ALGOL,N,N,N,N
ABSET,/wiki/ABSET,N,N,N,N
ABSYS,/wiki/ABSYS,N,N,N,N
ACC,/wiki/ACC_(programming_language),N,N,N,N
Accent,/wiki/Accent_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/RationalSoftware.png/220px-RationalSoftware.png,http://www-03.ibm.com/software/products/en/ratisyne,N,N
Ace DASL,/wiki/Distributed_Application_Specification_Language,N,N,N,N
ACT-III,/wiki/LGP-30#ACT-III_programming_language,N,N,N,N
Action!,/wiki/Action!_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Actionscr.png/300px-Actionscr.png,N,N,N
ActionScript,/wiki/ActionScript,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/ActionScript_icon.png/150px-ActionScript_icon.png,http://help.adobe.com/livedocs/specs/actionscript/3/wwhelp/wwhimpl/js/html/wwhelp.htm,N,N
Ada,/wiki/Ada_(programming_language),N,http://www.adaic.org/,N,N
Adenine,/wiki/Adenine_(programming_language),N,N,N,N
Agda,/wiki/Agda_(theorem_prover),N,http://wiki.portal.chalmers.se/agda/pmwiki.php,N,N
Agilent VEE,/wiki/Agilent_VEE,N,http://www.keysight.com/ko/pd-1476554-pn-W4000D/vee-pro-932?nid=-32809.806312.00&cc=KR&lc=kor&cmpid=20604,http://www.cdn.keysight.com/main/assets/images/frame/keysight-logo.png,N
Agora,/wiki/Agora_(programming_language),N,N,N,N
AIMMS,/wiki/AIMMS,N,https://aimms.com/,https://aimms-aimms.netdna-ssl.com/files/1214/2981/9233/american-flag-icon.png,N
Alef,/wiki/Alef_(programming_language),N,N,N,N
ALF,/wiki/Algebraic_Logic_Functional_programming_language,N,https://www.informatik.uni-kiel.de//~mh/systems/ALF/README,N,N
ALGOL 58,/wiki/ALGOL_58,N,N,N,N
ALGOL 60,/wiki/ALGOL_60,N,N,N,N
ALGOL 68,/wiki/ALGOL_68,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Algol68RevisedReportCover.jpg/220px-Algol68RevisedReportCover.jpg,N,N,N
ALGOL W,/wiki/ALGOL_W,N,N,N,N
Alice,/wiki/Alice_(programming_language),N,http://www.ps.uni-saarland.de/alice/,N,N
Alma-0,/wiki/Alma-0,N,https://www.cwi.nl/en/alma/,N,N
AmbientTalk,/wiki/AmbientTalk,N,http://soft.vub.ac.be/amop/,/amop/_media//at/fixed_atlogo.png?w=80&h=&cache=cache,N
Amiga E,/wiki/Amiga_E,N,N,N,N
AMOS,/wiki/AMOS_(programming_language),N,https://web.archive.org/web/20120204085705/http://www.clickteam.com/eng/downloadcenter.php?i=58,https://web.archive.org/web/20120204085705im_/http://www.theclickteam.com/eng/img/common/h_ctlogo.gif,N
AMPL,/wiki/AMPL,https://upload.wikimedia.org/wikipedia/en/b/b6/AMPL_%28textbook_cover%29.jpg,http://ampl.com/,http://ampl.com/wp-content/themes/ampl/images/logo.png,N
Apex,/wiki/Salesforce.com#Apex,N,N,N,N
APL,/wiki/APL_(programming_language),N,N,N,N
App Inventor for Android's visual block language,/wiki/App_Inventor_for_Android_(programming_language),https://upload.wikimedia.org/wikipedia/en/2/2c/App_Inventor_Logo.png,http://appinventor.mit.edu/,N,N
AppleScript,/wiki/AppleScript,https://upload.wikimedia.org/wikipedia/en/9/9e/AppleScript_Editor_Logo.png,https://developer.apple.com/library/content/documentation/AppleScript/Conceptual/AppleScriptX/AppleScriptX.html,N,N
APT,/wiki/APT_(programming_language),N,N,N,N
Arc,/wiki/Arc_(programming_language),N,N,N,N
ARexx,/wiki/ARexx,N,N,N,N
Argus,/wiki/Argus_(programming_language),N,N,N,N
AspectJ,/wiki/AspectJ,N,http://www.eclipse.org/aspectj/,//www.eclipse.org/eclipse.org-common/themes/solstice/public/images/logo/eclipse-426x100.png,N
Assembly language,/wiki/Assembly_language,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Motorola_6800_Assembly_Language.png/300px-Motorola_6800_Assembly_Language.png,N,N,N
ATS,/wiki/ATS_(programming_language),N,http://www.ats-lang.org/,./MYDATA/theLogo.png,N
Ateji PX,/wiki/Ateji_PX,N,http://www.ateji.com/,N,N
AutoHotkey,/wiki/AutoHotkey,https://upload.wikimedia.org/wikipedia/commons/3/36/AutoHotkey_logo.png,https://autohotkey.com/,assets/images/ahk-logo-no-text241x78-180.png,N
Autocoder,/wiki/Autocoder,N,N,N,N
AutoIt,/wiki/AutoIt,https://upload.wikimedia.org/wikipedia/en/2/22/Autoitlogo.png,https://www.autoitscript.com/site/autoit/,https://www.autoitscript.com/images/logo_autoit_210x72.svg,N
AutoLISP / Visual LISP,/wiki/AutoLISP,N,N,N,N
Averest,/wiki/Averest,N,N,N,N
AWK,/wiki/AWK,N,http://www.cs.princeton.edu/~bwk/btl.mirror/,N,N
Axum,/wiki/Axum_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Axum_Banner.png/150px-Axum_Banner.png,https://msdn.microsoft.com/en-us/devlabs/dd795202.aspx,N,N
Active Server Pages,/wiki/Active_Server_Pages,N,https://www.asp.net/,https://media-www-asp.azureedge.net/media/1738626/aspnet-logo.png,N
B,/wiki/B_(programming_language),N,N,N,N
Babbage,/wiki/Babbage_(programming_language),N,N,N,N
Bash,/wiki/Bash_(Unix_shell),https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Gnu-bash-logo.svg/152px-Gnu-bash-logo.svg.png,https://www.gnu.org/software/bash/,/graphics/fsf-logo-notext-small.png,N
BASIC,/wiki/BASIC,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/AtariBasic.png/300px-AtariBasic.png,N,N,N
bc,/wiki/Bc_(programming_language),N,N,N,N
BCPL,/wiki/BCPL,N,N,N,N
BeanShell,/wiki/BeanShell,N,http://www.beanshell.org/,N,N
Batch (Windows/Dos),/wiki/Batch_file,N,N,N,N
Bertrand,/wiki/Bertrand_(programming_language),N,N,N,N
BETA,/wiki/BETA_(programming_language),N,http://cs.au.dk/~beta/,N,N
Bistro,/wiki/Bistro_(programming_language),N,https://bitbucket.org/nik_boyd/bistro-smalltalk/,https://bitbucket.org/nik_boyd/bistro-smalltalk/avatar/128/?ts=1499610546,N
BitC,/w/index.php?title=BitC&action=edit&redlink=1,N,N,N,N
BLISS,/wiki/BLISS_(programming_language),N,http://pdp-10.trailing-edge.com/bb-m836d-bm/,N,N
Blockly,/wiki/Blockly,N,N,N,N
BlooP,/wiki/BlooP_and_FlooP,N,N,N,N
Boo,/wiki/Boo_(programming_language),https://upload.wikimedia.org/wikipedia/commons/e/e6/BooLogo.png,https://github.com/boo-lang,N,N
Boomerang,/wiki/Boomerang_(programming_language),N,http://www.seas.upenn.edu/~harmony/,images/harmony-logo.png,N
Bourne shell,/wiki/Bourne_shell,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Version_7_UNIX_SIMH_PDP11_Kernels_Shell.png/300px-Version_7_UNIX_SIMH_PDP11_Kernels_Shell.png,N,N,N
bash,/wiki/Bash_(Unix_shell),https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Gnu-bash-logo.svg/152px-Gnu-bash-logo.svg.png,https://www.gnu.org/software/bash/,/graphics/fsf-logo-notext-small.png,N
ksh,/wiki/Korn_shell,N,http://www.kornshell.org/,N,N
BREW,/wiki/Qualcomm_Brew,N,N,N,N
BPEL,/wiki/Business_Process_Execution_Language,N,N,N,N
Business Basic,/wiki/Business_Basic,N,N,N,N
C,/wiki/C_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/The_C_Programming_Language_logo.svg/140px-The_C_Programming_Language_logo.svg.png,N,N,N
C--,/wiki/C--,N,http://www.cs.tufts.edu/~nr/c--/index.html,N,N
C++,/wiki/C%2B%2B,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/C_plus_plus.svg/140px-C_plus_plus.svg.png,https://isocpp.org/,/files/img/cpp_logo.png,N
C#,/wiki/C_Sharp_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/C_Sharp_wordmark.svg/150px-C_Sharp_wordmark.svg.png,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/,N,N
C/AL,/wiki/C/AL,N,N,N,N
Caché ObjectScript,/wiki/Cach%C3%A9_ObjectScript,N,N,N,N
C Shell,/wiki/C_Shell,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tcsh_ejecut%C3%A1ndose_en_escritorio_Mac_OSX.png/300px-Tcsh_ejecut%C3%A1ndose_en_escritorio_Mac_OSX.png,N,N,N
Caml,/wiki/Caml,https://upload.wikimedia.org/wikipedia/en/4/4a/Caml.gif,http://caml.inria.fr/,N,N
Cayenne,/wiki/Cayenne_(programming_language),N,N,N,N
CDuce,/wiki/CDuce,N,N,N,N
Cecil,/wiki/Cecil_(programming_language),N,N,N,N
Cesil,/wiki/Cesil,N,N,N,N
Céu,/wiki/C%C3%A9u_(programming_language),N,N,N,N
Ceylon,/wiki/Ceylon_(programming_language),https://upload.wikimedia.org/wikipedia/en/2/20/Ceylon_%28programming_language%29_logo.png,https://ceylon-lang.org/,N,N
CFEngine,/wiki/CFEngine,https://upload.wikimedia.org/wikipedia/commons/2/2b/Cfengine_logo.png,https://cfengine.com/,https://cfengine.com/wp-content/uploads/2014/06/logo_with_box.png,N
CFML,/wiki/ColdFusion_Markup_Language,N,http://www.adobe.com/products/coldfusion-family.html,N,N
Cg,/wiki/Cg_(programming_language),N,N,N,N
Ch,/wiki/Ch_(computer_programming),N,http://www.softintegration.com/,/images/cstem_logo.png,N
Chapel,/wiki/Chapel_(programming_language),https://upload.wikimedia.org/wikipedia/en/c/c0/Cray_Chapel_Logo.png,http://chapel.cray.com/,N,N
Charity,/wiki/Charity_(programming_language),N,http://pll.cpsc.ucalgary.ca/charity1/www/home.html,N,N
Charm,/wiki/Charm_(language),N,http://charm.qu-bit.co.uk/,N,N
CHILL,/wiki/CHILL,N,N,N,N
CHIP-8,/wiki/CHIP-8,N,N,N,N
chomski,/wiki/Chomski,N,http://bumble.sourceforge.net/machine/,http://sflogo.sourceforge.net/sflogo.php?group_id=120173&type=3,N
ChucK,/wiki/ChucK,https://upload.wikimedia.org/wikipedia/commons/6/6a/ChucK_logo2.jpg,http://chuck.cs.princeton.edu/,doc/images/chuck_logo3.jpg,N
CICS,/wiki/CICS,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IBM_logo.svg/200px-IBM_logo.svg.png,https://www-01.ibm.com/software/data/enterprise-application-servers/cics/,N,N
Cilk,/wiki/Cilk,N,,N,N
Citrine (programming language),/wiki/Citrine_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Citrine_programming_language_logo.png/220px-Citrine_programming_language_logo.png,http://citrine-lang.org/,logo.png,N
CL,/wiki/AS/400_Control_Language,N,N,N,N
Claire,/wiki/Claire_(programming_language),N,http://www.claire-language.com/,/chrome/common/trac_logo_mini.png,N
Clarion,/wiki/Clarion_(programming_language),N,http://www.softvelocity.com/,assets/img/logo/logonew57.png,N
Clean,/wiki/Clean_(programming_language),https://upload.wikimedia.org/wikipedia/en/8/88/Cleanlang_logo.jpg,http://clean.cs.ru.nl/Clean,/images/5/59/Itasks-logo.png,N
Clipper,/wiki/Clipper_(programming_language),N,http://www.grafxsoft.com/clipper.htm,N,N
CLIPS,/wiki/CLIPS_(programming_language),N,http://www.clipsrules.net/,N,N
CLIST,/wiki/CLIST,N,N,N,N
Clojure,/wiki/Clojure,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Clojure_logo.svg/220px-Clojure_logo.svg.png,https://clojure.org/,images/clojure-logo-120b.png,N
CLU,/wiki/CLU_(programming_language),N,http://www.pmg.lcs.mit.edu/CLU.html,N,N
CMS-2,/wiki/CMS-2_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/CMS-2Y_Programmers_Reference_Manual_for_the_AN_UYK-7_and_AN_UYK-43_Oct86.jpg/220px-CMS-2Y_Programmers_Reference_Manual_for_the_AN_UYK-7_and_AN_UYK-43_Oct86.jpg,N,N,N
COBOL,/wiki/COBOL,N,N,N,N
CobolScript,/wiki/CobolScript,N,N,N,N
Cobra,/wiki/Cobra_(programming_language),N,http://cobra-language.com/,N,N
CODE,/wiki/CODE_(programming_language),N,N,N,N
CoffeeScript,/wiki/CoffeeScript,https://upload.wikimedia.org/wikipedia/en/1/1c/CoffeeScript-logo.png,http://coffeescript.org/,N,N
ColdFusion,/wiki/ColdFusion,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Adobe_ColdFusion_10_icon.png/64px-Adobe_ColdFusion_10_icon.png,http://www.adobe.com/products/coldfusion-family.html,N,N
COMAL,/wiki/COMAL,N,N,N,N
Combined Programming Language,/wiki/Combined_Programming_Language,N,N,N,N
COMIT,/wiki/COMIT,N,N,N,N
Common Intermediate Language,/wiki/Common_Intermediate_Language,N,N,N,N
Common Lisp,/wiki/Common_Lisp,N,https://common-lisp.net/,static/imgs/lisplogo.png,N
COMPASS,/wiki/COMPASS,N,N,N,N
Component Pascal,/wiki/Component_Pascal,N,http://www.oberon.ch/,N,N
Constraint Handling Rules,/wiki/Constraint_Handling_Rules,N,N,N,N
COMTRAN,/wiki/COMTRAN,N,N,N,N
Converge,/wiki/Converge_(programming_language),N,http://www.convergepl.org/,/images/logo-small.png,N
Cool,/wiki/Cool_(programming_language),N,N,N,N
Coq,/wiki/Coq,https://upload.wikimedia.org/wikipedia/commons/d/d8/Coq_logo.png,https://coq.inria.fr/,/files/barron_logo.png,N
Coral 66,/wiki/Coral_66,N,N,N,N
Corn,/wiki/Corn_(emulator),N,N,N,N
CorVision,/wiki/CorVision,N,N,N,N
COWSEL,/wiki/COWSEL,N,N,N,N
CPL,/wiki/CPL_(programming_language),N,N,N,N
Cryptol,/wiki/Cryptol,N,N,N,N
Crystal (programming language),/wiki/Crystal_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/The_Crystal_programming_language_logo.svg/260px-The_Crystal_programming_language_logo.svg.png,https://crystal-lang.org/,/assets/bountysource.png,N
csh,/wiki/C_shell,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tcsh_ejecut%C3%A1ndose_en_escritorio_Mac_OSX.png/300px-Tcsh_ejecut%C3%A1ndose_en_escritorio_Mac_OSX.png,N,N,N
Csound,/wiki/Csound,N,http://csound.github.io/,/images/cs-logo-01.png,N
CSP,/wiki/Communicating_sequential_processes,N,N,N,N
CUDA,/wiki/CUDA,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Nvidia_CUDA_Logo.jpg/300px-Nvidia_CUDA_Logo.jpg,https://developer.nvidia.com/cuda-zone,https://developer.nvidia.com/sites/default/files/AcceleratedComputing.png,N
Curl,/wiki/Curl_(programming_language),https://upload.wikimedia.org/wikipedia/en/5/5a/Curl_logo.gif,http://www.curl.com/,N,N
Curry,/wiki/Curry_(programming_language),N,,N,N
Cybil,/wiki/Cybil_(programming_language),N,N,N,N
Cyclone,/wiki/Cyclone_(programming_language),N,http://cyclone.thelanguage.org/,N,N
Cython,/wiki/Cython,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Cython-logo.svg/220px-Cython-logo.svg.png,http://cython.org/,N,N
D,/wiki/D_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/D_Programming_Language_logo.svg/120px-D_Programming_Language_logo.svg.png,https://dlang.org/,images/dlogo.svg,N
DASL,/wiki/Datapoint%27s_Advanced_Systems_Language,N,N,N,N
DASL,/wiki/Distributed_Application_Specification_Language,N,N,N,N
Dart,/wiki/Dart_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Dart_logo_wordmark.png/241px-Dart_logo_wordmark.png,https://www.dartlang.org/,/assets/logo-61576b6c2423c80422c986036ead4a7fc64c70edd7639c6171eba19e992c87d9.svg,N
DataFlex,/wiki/DataFlex,N,N,N,N
Datalog,/wiki/Datalog,N,N,N,N
DATATRIEVE,/wiki/DATATRIEVE,N,N,N,N
dBase,/wiki/DBase,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/DBaseLogo_BlackWithRed_glass_300.png/220px-DBaseLogo_BlackWithRed_glass_300.png,http://www.dbase.com/,http://www.dbase.com/wp-content/uploads/2012/05/dBase-Transparent-with-TM-1024narrow-300x84.png,N
dc,/wiki/Dc_(computer_program),N,N,N,N
DCL,/wiki/DIGITAL_Command_Language,N,N,N,N
Deesel,/wiki/Deesel,N,N,N,N
Delphi,/wiki/Delphi_(programming_language),N,https://www.embarcadero.com/products/delphi,/templates/avendor/images/embarcadero_logo.png,N
DinkC,/wiki/Dink_Smallwood#Modification,N,N,N,N
DIBOL,/wiki/DIBOL,N,N,N,N
Dog,/wiki/Sepandar_Kamvar#.22Dog.22_programming_language,N,N,N,N
Draco,/wiki/Draco_(programming_language),N,N,N,N
DRAKON,/wiki/DRAKON,N,N,N,N
Dylan,/wiki/Dylan_(programming_language),N,N,N,N
DYNAMO,/wiki/DYNAMO_(programming_language),N,N,N,N
E,/wiki/E_(programming_language),N,http://erights.org/,images/small-logo.gif,N
EarSketch,/wiki/EarSketch,N,N,N,N
Ease,/wiki/Ease_(programming_language),N,N,N,N
Easy PL/I,/wiki/PL/I,N,http://bitsavers.trailing-edge.com/pdf/ibm/360/pli/,N,N
Easy Programming Language,/wiki/Easy_Programming_Language,N,N,N,N
EASYTRIEVE PLUS,/wiki/Easytrieve,N,N,N,N
ECMAScript,/wiki/ECMAScript,N,http://www.ecma-international.org/,images/logo_top.gif,N
Edinburgh IMP,/wiki/Edinburgh_IMP,N,N,N,N
EGL,/wiki/EGL_(programming_language),N,N,N,N
Eiffel,/wiki/Eiffel_(programming_language),N,N,N,N
ELAN,/wiki/ELAN_(programming_language),N,http://www.cs.ru.nl/elan/,logo.gif,N
Elixir,/wiki/Elixir_(programming_language),https://upload.wikimedia.org/wikipedia/en/a/a4/Elixir_programming_language_logo.png,https://elixir-lang.org/,/images/logo/logo.png,N
Elm,/wiki/Elm_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Elm_logo.svg/120px-Elm_logo.svg.png,http://elm-lang.org/,N,N
Emacs Lisp,/wiki/Emacs_Lisp,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/EmacsIcon.svg/64px-EmacsIcon.svg.png,N,N,N
Emerald,/wiki/Emerald_(programming_language),N,http://www.emeraldprogramminglanguage.org/,N,N
Epigram,/wiki/Epigram_(programming_language),N,N,N,N
EPL,/wiki/Easy_Programming_Language,N,N,N,N
Erlang,/wiki/Erlang_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Erlang_logo.svg/114px-Erlang_logo.svg.png,https://www.erlang.org/,/img/erlang.png,N
es,/wiki/Es_(Unix_shell),N,http://doc.cat-v.org/plan_9/4th_edition/papers/rc,N,N
Escher,/wiki/Escher_(programming_language),N,N,N,N
ESPOL,/wiki/Executive_Systems_Problem_Oriented_Language,N,N,N,N
Esterel,/wiki/Esterel,N,N,N,N
Etoys,/wiki/Etoys_(programming_language),N,N,N,N
Euclid,/wiki/Euclid_(programming_language),N,N,N,N
Euler,/wiki/Euler_(programming_language),N,N,N,N
Euphoria,/wiki/Euphoria_(programming_language),https://upload.wikimedia.org/wikipedia/commons/c/c3/OpenEuphoria_logo.png,http://openeuphoria.org/,/logos/80x84-mongoose-color-lite.png,N
EusLisp Robot Programming Language,/wiki/EusLisp_Robot_Programming_Language,N,N,N,N
CMS EXEC,/wiki/CMS_EXEC,N,N,N,N
EXEC 2,/wiki/EXEC_2,N,N,N,N
Executable UML,/wiki/Executable_UML,N,N,N,N
F,/wiki/F_(programming_language),N,N,N,N
F#,/wiki/F_Sharp_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Fsharp%2C_Logomark%2C_October_2014.svg/220px-Fsharp%2C_Logomark%2C_October_2014.svg.png,http://fsharp.org/,../img/logo/fsharp256.png,N
F*,/wiki/F*_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Fstar-official-logo-2015.png/120px-Fstar-official-logo-2015.png,https://www.fstar-lang.org/,/i/fstar-new.png,N
Factor,/wiki/Factor_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/NewFactorLogo.png/200px-NewFactorLogo.png,http://factorcode.org/,logo.png,N
Falcon,/wiki/Falcon_(programming_language),https://upload.wikimedia.org/wikipedia/en/3/3a/FalconplLogo.png,http://falconpl.org/,images/logo.png,N
Fantom,/wiki/Fantom_(programming_language),https://upload.wikimedia.org/wikipedia/commons/8/8c/Fantom-logo.png,http://www.fantom.org/,N,N
FAUST,/wiki/FAUST_(programming_language),N,http://faust.grame.fr/,N,N
FFP,/wiki/FFP_(programming_language),N,N,N,N
Fjölnir,/wiki/Fj%C3%B6lnir_(programming_language),N,N,N,N
FL,/wiki/FL_(programming_language),N,N,N,N
Flavors,/wiki/Flavors_(programming_language),N,N,N,N
Flex,/wiki/Flex_(language),N,N,N,N
FlooP,/wiki/BlooP_and_FlooP,N,N,N,N
FLOW-MATIC,/wiki/FLOW-MATIC,N,N,N,N
FOCAL,/wiki/FOCAL_(programming_language),N,N,N,N
FOCUS,/wiki/FOCUS,N,N,N,N
FOIL,/wiki/FOIL_(programming_language),N,N,N,N
FORMAC,/wiki/FORMAC_(programming_language),N,N,N,N
@Formula,/wiki/Formula_language,N,N,N,N
Forth,/wiki/Forth_(programming_language),N,N,N,N
Fortran,/wiki/Fortran,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Fortran_acs_cover.jpeg/150px-Fortran_acs_cover.jpeg,N,N,N
Fortress,/wiki/Fortress_(programming_language),N,http://www.oracle.com/splash/java.net/maintenance/index.html,N,N
FoxBase,/wiki/FoxBase,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/VisualFoxProScreenshot.png/300px-VisualFoxProScreenshot.png,https://msdn.microsoft.com/en-us/library/mt490117,https://i-msdn.sec.s-msft.com/Areas/Centers/Themes/StandardDevCenter/Content/HeaderFooterSprite.png?v=636366940370715916,N
FoxPro,/wiki/FoxPro,N,N,N,N
FP,/wiki/FP_(programming_language),N,N,N,N
Franz Lisp,/wiki/Franz_Lisp,N,N,N,N
Frege,/wiki/Frege_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Frege_logo.svg/220px-Frege_logo.svg.png,https://github.com/Frege/frege,/Frege/frege/raw/master/resources/Frege_logo.png,N
F-Script,/wiki/F-Script_(programming_language),N,http://www.colt.net,N,N
G,/wiki/G_(programming_language),N,N,N,N
Game Maker Language,/wiki/GameMaker:_Studio,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/The_game_maker_logo.png/220px-The_game_maker_logo.png,https://www.yoyogames.com/,/static_assets/core/new/yoyogames-f1e6b68b922f380e535582f909c7540c.png,N
GameMonkey Script,/wiki/GameMonkey_Script,N,N,N,N
GAMS,/wiki/General_Algebraic_Modeling_System,N,https://www.gams.com/,N,N
GAP,/wiki/GAP_computer_algebra_system,N,http://www.gap-system.org/,N,N
G-code,/wiki/G-code,N,N,N,N
GDScript,/wiki/Godot_(game_engine),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Godot_%28game_engine%29_logo.svg/200px-Godot_%28game_engine%29_logo.svg.png,https://godotengine.org/,https://godotengine.org/themes/godotengine/assets/logo.svg,N
